TextTweet,Compound Score,Sentiments
"Teach kating for the cheating test semester, the test conditions are exactly the sender's semester, you know honest opinion",-0.0772,Negatif
prefer to take care of ukm hima alas sender confused choose,-0.0516,Negatif
"guysss did it at night speeding to finish the revision of the list, bro, you have to be afraid of spray, pray ain, hopefully the lecturer will test the spirit of fighting friends",0.743,Positif
Is it safe to bring a laptop to the campus in a backpack like that with a motorbike?,0.6597,Positif
sender reference reply,0.0,Netral
"When you turn on the laptop, it appears, it's better to delete it, btw the Smadav is original or not",0.6369,Positif
"guys, the theoretical basis for English language proposals for translation certified translators, enter the provozal tp kating campus language center process",0.0,Netral
campus staff lecturers on Christmas holidays,0.3818,Positif
"UNAIR residents, please download the repository file, thank you",0.5859,Positif
"guys, the MSB website is open for internship positions",0.0,Netral
"guys, the title of my thesis isn't ready yet, dm don't correct my title, thanks already",0.1999,Positif
"the sender graduated from high school, if you attach the nature of the pklan, include your cv",0.0,Netral
"Guys, charging the laptop is damaged. The script to buy it is better if the service center is Dkmana",0.0,Netral
sender matkul uas leftovers,0.0,Netral
"Now I understand that the price is really high, come on, hurry up and finish the exam assignment so that you can have a quick holiday first, happy holiday",0.8442,Positif
proud story hwhwhwhw deadliner now I've finished my final exams mostly assignments go home quickly from my study program friends because I don't need to collect campus assignments anymore aaa proud cont,0.8519,Positif
enter the definition of expert paper uas yay nay,0.5267,Positif
"The language is clear again, it's formal, the point is like asking the lecturer to detail it so that your wa chat, the language is a bit ambiguous, afraid of being caught wrong hehe",0.25,Positif
"Guys, please pray for it to go smoothly and badly, please give a powerful prayer so that it will be slow, calm, beat the lecturer, thank you guys",0.8555,Positif
member check carefully qualitative bet,0.128,Positif
"ready to help like the task, thank you",0.8481,Positif
"look, find a house song, work on a script, sweet, listen to TV songs, so that the sound is big, TVs canisters, there's no menu icon, I don't know how to set it",0.2023,Positif
"If you translate documents accurately, Google Doc, MS Word",0.0,Netral
presentation task face to face share ppt mom says online according to the meaning of the sentence how the session is clear like meeting Sunday the presentation is still online wkwk,0.765,Positif
it's better to take Sunday class practice gas prak sender position lg diarrhea suddenly after eating spicy peanut anchovies,0.4404,Positif
"Yesterday, I asked about the position of a business apprentice. I said later, after management, it's better to follow up",0.4404,Positif
"Guys, what is the course plan if you are studying online?",0.0,Netral
"Can't stand the semester now, I'm already at the thesis stage, but the parents are confused, the stress is giving up",-0.5499,Negatif
early morning beautiful smile syntax,0.7506,Positif
"Hello, Kenan, fill out the barter questionnaire, fill out the respondent's questionnaire, the criteria for tiktok, reply to the dm link, thank you very much, healthy age",0.6682,Positif
uas sender yeyyy,0.0,Netral
"I feel like I'm throwing away my friends, I feel like I've already graduated from my thesis, maybe I've already thrown away the benefits of life",0.8658,Positif
teach toefl how to share ebook training,0.296,Positif
"guys, what do you mean by reading, thanks",0.4404,Positif
"I haven't gone to sleep yet I've been ordered to take care of donating money, don't pretend to wake up late so I'm thinking frantically, dropping files, one really annoyance, if you don't manage, there's no initiative.",0.0329,Positif
"Last night I slept at night waiting to look for turnitin, group assignments down, max. Yesterday, I couldn't sleep, but the group chat didn't respond, I swear, I swear, I swear, I said cont",-0.0971,Negatif
"Friends, looking for info on boarding houses at Mamikos Kating, there's already minimal information, so the price for a standard boarding house, AC UI, is worth how much money on average",0.6124,Positif
self-based pt ad art if self-based local government ala,0.0,Netral
"It's very sad that the sender's note is torn, but the sender is wrong because he forgot to write the note on the table",-0.7812,Negatif
"dream boarding room, guys, it's humid, the air is fresh, all you have to do is plant it in the morning when you look at Mount Lawu",0.5106,Positif
"Good morning, I'm asking if I'm an MC for a seminar, how about an account, share tips for being a MC, thanks",0.7906,Positif
Do you teach mathematics if you know Univ Tia already?,0.5106,Positif
open jockey ppt urgent,0.2023,Positif
guys mean thanks,0.4404,Positif
domicile on the island of Java,0.0,Netral
"please help fill out the barter questionnaire, let's link taro reply or dm the criteria for respondents respondents age for online transportation intention for online transportation cont",0.6124,Positif
"working on a black screen laptop thesis, the notification when typing the file is large, even though it's a page, it's better to save the data",0.7269,Positif
sender wakes up at the hour of the teaching session and prays that the thesis session will go smoothly,0.34,Positif
I understand the laptop file folder doesn't move local OneDrive data it keeps failing huhu thanks,-0.1027,Negatif
"Guys, if it looks like that, how can the journal already input transactions",0.3612,Positif
since college mentally unstable,-0.3612,Negatif
"guys, suggest that the suitcase go back to the village and it's all done",0.0,Netral
catfish cake mustache arghhhh angry,-0.5106,Negatif
"the organization's children's group is super busy making mebatin very active but told the group, sorry, take care of it, take care of it, don't talk, your eyes are moving forward, you're a dragon cont",0.9117,Positif
how to formula for a thesis proposal so that the sender's reference ends after sunset,0.0,Netral
understand myob about the output report like that hehe tia,0.7003,Positif
processing data using fast pulses doing it with data,0.0,Netral
"nature is sad, not natural",-0.6381,Negatif
"if you are careful, anti, permission is a thorough object, thank you",0.2023,Positif
"Guys, thank you worship page, thank you, say thank you, idol, let's see",0.8271,Positif
good morning my Muslim brother forgot to read al kahfi Friday at yaa,0.4404,Positif
Do you understand how it's complete?,0.0,Netral
good wrong perfect wrong fail reasonable,-0.4767,Negatif
"the sense of exhalation in the permeation of the drop of the tear of the farmer's bed, the bed of the obsession, the logo cont",-0.5423,Negatif
"guys, pray for the test to close, btw spill the prayer for reading the test, don't slaughter the lecturer",0.3182,Positif
working on the thesis chapter anti,-0.3182,Negatif
I'm really annoyed that afternoon lectures are really weak when I come home with a heavy headache,-0.7258,Negatif
"Tomorrow's friends will be able to feed the test lecturers like how about a cake, I'm okay if you give me a test yesterday",0.7579,Positif
in fact,0.0,Netral
Suggest songs that are suitable for working on a thesis sender relate to motivate me to work on a thesis need sender lg not in the mood to use a song to work on a thesis I'm used to doing assignments using songs thanks,0.6705,Positif
guess gus faiz's moves,0.0,Netral
trial aamiin pray maybe pray anya acc,0.5574,Positif
"close the munaqosah close to the thesis, visit the end, all that remains is the cooking chapter, pay for the full trial, God, I hope your servant will be easy, far difficult, my servant cont",0.6124,Positif
"confide in the sender, already chasing the deadline, the list of munaqosah on the sender's side is difficult to dosbing dosbing, it is difficult to connect once the response is difficult to find, take it in turns to meet, ask for a revision cont",-0.7579,Negatif
"guys, if the table contains long side data, how do you get the idea to be a side column if you force the side to look narrow, fill in the table numbers wkwk",0.0,Netral
guys wake up sender ask do you understand what the sender meant yesterday understand understand sob,-0.25,Negatif
"Students on Christmas break are busy with final exams, already on vacation, the sender is drunk on assignment haha ​​hihi",0.1531,Positif
"Adek, a girl friend who lives in Surabaya, sender, needs an informant, word sender, dm thanks, Colle residents",0.7269,Positif
"Ges Klean thesis, if the semester break is a holiday, or do you research the lab, the campus is closed, it's a semester break, wkwk",0.4019,Positif
"help explain the interpretation of the simultaneous test of the results of the confusing effect of the sm partial test, the negative effect, the positive effect, thank you",0.4939,Positif
"Guys, I'm already in college, I'm planning to take a test year, I'll change my style, I'd like to have a ken univ, top univ, top jutsu, fav, jutsu I want",0.8126,Positif
hapus tau pls reply,0.0772,Positif
try student lgi thesis really really awesome from an economic point of view dosbing friends family love really the test piles up the spirit phase,0.9283,Positif
"guys, asking for BPS data, data on GDP figures, adhk business field, million rupiah, the number behind the point, if input, replace the bright number, million rupiah, cont",0.5423,Positif
"Actually, I already made a plan to work on it, but it didn't really go according to plan",0.0,Netral
show notes about yukk likes to see it wkwk,0.4215,Positif
semester soul stay high school,0.0,Netral
analysis of song lyrics close context study qualitative semiotics guysss tia,0.5106,Positif
"confide in the sender, open a business with friends from the sender campus, try to pray, hopefully the business will run smoothly, hopefully your prayers will be lt's",0.8689,Positif
"sorry for venting, guys, hopeless, really",-0.5106,Negatif
overthinking non-top univ students,0.0,Netral
who is dim,0.0,Netral
Anak Uin YH Kompre asked to memorize Arabic hadiths,0.0,Netral
"Please, the lecturer chat template is included in the revision of the Makassar street vendor proposal",0.3182,Positif
"student friends haven't slept yet, sorry the respondent is thorough, yes, huhu, how do you do it when you get it, thanks for being available",0.8369,Positif
"wake up, help guys, measure the cellphone poster, measure it, guys",0.4019,Positif
what do you do with it like the advice guys so that you give up and get tired,-0.1027,Negatif
"sleep quietly, the group assignments are finished, the deadline has been exceeded, guys, the group is excited, the group has no response, the response says it can't, as a result, the cont",0.0516,Positif
alhamdulillah already sent menfess,0.0,Netral
the story of FG graduated in the year it was suggested to take a course but now it takes a moment to take a move hehe I'm sorry but I've passed how to solve it,0.1901,Positif
guys cv is pages,0.0,Netral
base select class,0.0,Netral
Sender's birthday slaughtered the test until the afternoon in total matkul hiksddd wml wml I hope it goes well huhu,0.6124,Positif
"Punten guys, Cilacap, about the boarding house near the Cilacap Hospital, right there, thanks in advance",0.4404,Positif
"so that the distance is neat when justified, how about it, please give the info, tia",0.8834,Positif
"when you try your best but you don't succeed sender sad disappointed angry confused asked to tell a story confused where to go home in the evening to campus, nang hehe",-0.9187,Negatif
"let's connect on linkedin, the feb child pulls data analysts, how about connecting sm",0.0,Netral
"yeah, it's annoying, sorry, I forgot to print the journal, now it's hard to find the web, it's locked",-0.296,Negatif
"Guys, Unand students are asked to please download the journal, thank you",0.5859,Positif
"I was dizzy looking for the thesis title when I got it but I felt like the title market was confused, the lecturer variable had to be related",-0.0387,Negatif
uas assignment article,0.0,Netral
"please help the sender please, friends, oh yes, it's okay to change what you mean to buy",0.9186,Positif
korean meme turn off data during holidays or not the sender is done already uas it's off wa nii hehe if you drop kalean bro uas cheers up,0.5574,Positif
Is it true or not if you terminate your employee layoffs?,0.4215,Positif
"Excuse me for studying at Esa Superior University, if you really need help, thank you",0.8605,Positif
you know the web app made the abstract thanks to the rep,0.4404,Positif
tutor put together the table split page dungs ​​thank you,0.0,Netral
so the style reference is how to write,0.0,Netral
I'm confused about the title because I don't have any interest,-0.5831,Negatif
"ovt makes me scared to do my thesis for weeks, I'm afraid",-0.4404,Negatif
publish the journal fee if it's at the copyediting stage already paid already published the website the revision is tia,0.5106,Positif
"I'm sorry sis, if you ask a stupid question, but if the lecturer asks for a paper, the theme of the contents of the paper means the type, etc., it's connected",-0.3291,Negatif
"However, the results are encouraging",0.5267,Positif
"sometimes I feel tired, bf is smart in college, likes low self-esteem, etc., gets the final competition, says if you contribute a little, etc., if you are insecure, sometimes you get tired of encouraging like cont",0.1779,Positif
tired of college,-0.4404,Negatif
sender friends tell stories that they understand what lecturers sender teach together ready to test eh lazy sender is confused,0.2023,Positif
"morocco, tunisia, jordan, independent scholarship pathway, aka non-command, majors in Islamic sciences, if you want, dm if you want, reply thanks",0.5423,Positif
guys so that I can get the full chapter link until how,0.0,Netral
sender after nurturing plagiarism is sure to check turnitin down the percent just sksksksk,0.6486,Positif
"like apt february, try to share, guys, your complaints are ready, how many are you ready?",0.7184,Positif
help me lg task of restarting the laptop automatically restarts but if it doesn't appear read restart you know or not,0.2144,Positif
dont deserve my mom help,0.4019,Positif
lost my dad this year and dunia ku gelap skripsi skripsi ku udah masalah dospem sulit lulus now feel like lost my self and miss my dad im tired of everything happend with my life lately cont,-0.6808,Negatif
If you look at the work of tourism in which country,0.0,Netral
the law is right,0.0,Netral
Have you made the script yet?,0.0,Netral
what are you doing burnout?,0.0,Netral
"the brakes on campus politics are tired of teaching them to organize, ehhh yeah, losing a chair entrusted to children of influence",-0.3612,Negatif
"the team collects google drive assignments minutes before the deadline so that various things can be avoided, several are shared about the task being deleted in context",0.0,Netral
my brother asked me if it was true,0.4215,Positif
my script is finished,0.0,Netral
pspa college applied for a scholarship siiii,0.0,Netral
Gang river water yaa bro huhu,0.0,Netral
"The content limit requires an independent campus, thanks",0.4404,Positif
my not bad,0.431,Positif
answer brothers and sisters please understand help,0.6124,Positif
the sender lost the mood to work on the thesis after changing the dosbing,-0.3182,Negatif
if gdrive then move to gdrive then save gdrive if you move the storage it doesn't add enough thanks,0.2008,Positif
"info on ziplock plastic packaging for printing in the Jogja area, guys",0.0,Netral
"guys, if the data on the KTI document has already been written, pass the job card list",0.0,Netral
a friend if after guiding me to do me time,0.4939,Positif
"what's wrong with the laboratory staff protesting, how do students give suggestions, accept being scolded, my campus is a mess of bureaucracy, no criticism, no suggestions",-0.3624,Negatif
"what's wrong with the laboratory assistant, just asking for the jobdesk for the laboratory staff to mention that the representative is really working aslab, guys, my lab, the laboratory assistant, came to give gossip, guys, it's true, cont",-0.25,Negatif
"I read the repservice of my dimf friend, it's true that if I do lab work, I really eat blind wages, I really give up the assignment, btw, I'm wrong, guys, I feel like I'm being taken advantage of so I think this is a jobdesk person cont",0.5302,Positif
"complete lecturer for typhoid engineering students in college, let's technical children tell about the nature of typhus in college hehe",0.0,Netral
"asking if the word style is updated or not, I need a th edition, a th edition laptop, please let me know if there's a tutorial, thx",0.5859,Positif
What's a good scan app?,0.4404,Positif
"Guys, ask for a part-time video editor internship. Reply, permission to ask, thanks",0.4404,Positif
"This accounting is really easy, all you have to do is click directly mwehehe",0.4927,Positif
"Guys, let's tag an educational account that must be followed",0.0,Netral
li by ta,0.0,Netral
"the weight of doing the task comes with the factor of thinking that when it's done, I'm tired and then I'm sorry",-0.4939,Negatif
"experienced a corrupted camera memory file, what's the solution, I've been looking for YT, I've found no results",0.0258,Positif
do it again,0.0,Netral
"Guys, tell me about the video assignment, my friend took it using my cellphone, I upgraded the drive, it's proof that I was already up, when I checked, the file was gone, that's it, the drive file was gone, yeah, I'm brain cont",0.6597,Positif
"Guys, I'm asking, do you understand assumptions, be honest, quantitative, understand what assumptions are like",0.7003,Positif
"sorry, I'm really confused about how to solve it huhu",-0.2716,Negatif
spin wheel talk guys sleep on the task tomorrow wkwkwk,0.0,Netral
"thank you for giving me more advice, gaaa",0.5994,Positif
"Tomorrow will test the proposal, please pray that it will go smoothly so I can use the thesis title trial",0.5574,Positif
no salty mi ni mal li pa ta,-0.296,Negatif
"complain about complaints, tell stories, pray for tomorrow sender, the list of winners of the competition is lucky, fortunately, you can eat more while you have enough, thank you",0.6705,Positif
"Guys, college lacks nature but when you graduate, you get an office like that, I think",0.5023,Positif
"actually the standard deviation, guys",0.0,Netral
"Overseas children are ready to fill out a thorough questionnaire. Reps really need respondents, sorry, everyone",0.235,Positif
"When you say that the thesis isn't perfect, I can't even test it, you're mad at me",-0.735,Negatif
watch read broadly,0.0,Netral
asked if the doctor studied at the state university of the state doctor studied German and then the German doctor took German teachers,0.0,Netral
what are you doing on semester break?,0.0,Netral
sender tb malem ovt dapus minimal thesis dapus gt gt normal how scared,0.0772,Positif
"basic theory of purchase decision, guys",0.0,Netral
"It's normal, if the sender is annoyed like that, okay, if you're allergic, it's an issue, btw, discuss it until you chat",-0.1027,Negatif
"Excuse me, the morning teaching method is like dawn, no tips if you sender to work on your thesis in the morning while on vacation so you can get enough sleep",0.1531,Positif
quick estimation of chapter thesis work,0.0,Netral
"backup the journal thesis reference file, so where to ask, if you delete it, then the dapus has to be deleted, how do you find Mendeley",0.0,Netral
"yesterday evening we met randomly and laughed and laughed at bank bni campus senderr the door lock was funny, mas laughed, stopped worrying, mas laughed for a little bit, laughed a lot",0.9235,Positif
stay dosbing leave consul chapter,-0.0516,Negatif
"Sempro passed, huh, I'm so scared",-0.5777,Negatif
guys dafpus really use gin thanks,0.4877,Positif
"chapters, chapters, chapters, chapters, chapters, clear, hamper the results of the respondents' validity, reliability test, diligently, the chapters are really tired of waiting to find respondents, fill out the questionnaire",-0.1513,Negatif
"brother, friends, friends, free time, please fill in the questionnaire, kel huhu uas kenan rep, religious tolerance is really easy, boy, thank you very much",0.9581,Positif
"Guys, return the corrupt SD card file, how about the lecture file",0.0,Netral
"drop the horror thread around campus, read it, guys",-0.7003,Negatif
pls hshshsh sender finished teaching uas tomorrow afternoon who teaches sks cung,0.0772,Positif
prefer holiday home boarding looking busy,0.4019,Positif
bem dpm stop the sender organization needs advice confused stop,-0.6908,Negatif
"guys, ask Danusan do you sell risol risol?",0.0,Netral
make the classic assumption test results do you download spss how about tia,0.5106,Positif
"guys, the thesis researched the asset growth bank bc period until if you see it, ask, thank you",0.765,Positif
"good, need internet for college to do assignments, thank you",0.6597,Positif
the group info came from the lab and that's it,0.0,Netral
"my lab lab student, like the info on the assistant working on the practicum module, register for attendance, note down the file materials, I saw the lab assistant, what are you doing really, kek nus cont",0.3612,Positif
"laboratory campus and laboratory work, my style is kek org eats a salary blind lab, my style is the organizational structure of the head of the lab, the lecturer in the laboratory, the students, the assistant, the lab cont",-0.4019,Negatif
when ajar uas starts to feel like gw nyerah,0.3612,Positif
"Everyone, please help fill out the wrong cosmetic questionnaire because it requires respondents to carefully fill in the rep dm, thanks",0.6486,Positif
"the trial checks the study program's turnitin, if you check it, use a turnitin check service",0.0,Netral
notice sender pls ask msib rep pls thanks,0.5423,Positif
guys spill teach,0.0,Netral
"I've registered but I haven't made a CV yet, I've got the files ready, I'm in a hurry",0.5023,Positif
it's time to read the journal hehe,0.0,Netral
Guy's beer spashy gina padhan udah don't add spas betweb paragraph,0.0,Netral
"Guys, I'm asking if the criteria for a proposal book are thorough, how about books like this or not the criteria, thank in advance",0.1002,Positif
sad pj gin tips tricks to minimize the rich gin tia,0.5106,Positif
"Sis, thorough quantitative progress on the criteria for milu research respondents, such as voting rights, etc. using purposive sampling, the slovin sample formula, thank you",0.6486,Positif
I have guided my dosbing because I chose to finish my apprenticeship after sempro now I'm confused about dosbing to appeal how to guide but I also need an appeal because of the rest of the thesis,-0.1655,Negatif
guys list asked pervert thoroughly,-0.5106,Negatif
DJP environmental research will get a reply after filling out the research,0.0,Netral
Do you teach mathematics if you know Univ Tia already?,0.5106,Positif
"I've published a kumpar article, if you'd like, thank you",0.6124,Positif
"Guys, help sender friends fill out the age questionnaire, the money literacy questionnaire, thanks in advance",0.8271,Positif
"After the sender calculated the cost of printing the total number of respondents' questionnaires, the results of the printed questionnaires ran out of money",0.1513,Positif
it's been a holiday,0.4019,Positif
tomorrow uas ken give appreciation friend help semester please give me inspiration say dongg tia lt,0.9531,Positif
"the footer number is the question, but it's set by the lecturer admin, thank you",0.5267,Positif
heartbreaking task,-0.4588,Negatif
"Guys, in the seminar room, the results of the respondent in the love room were able to ask the same thing",0.6369,Positif
"it looks like it's detailed, even though it's like that, to be honest, it's really cpek-testing",0.8074,Positif
"Gess, to be honest, I really feel down, because the thesis really looks like I'm being asked to go into detail, even when compiling it, the thesis is different, even though the topic is almost like you know when people read the thesis, look at their type of thesis, cont",0.8066,Positif
"Sir, have you registered yet, sr's cv, like, transcript, ID, document, yeah, tia",0.7906,Positif
"field lectures, it's better to have a boarding pass",0.4404,Positif
knowledge of how to make a journal,0.0,Netral
Really good book recommendations for teaching TOEFL,0.4927,Positif
Design Ketukan team kalo ada makasihh ltd with kalyan mukh caps,0.0,Netral
the reason for choosing to go to college majoring in fib is getting tutoring,0.0,Netral
"if a friend is in debt, remind him to remind him of the debt",-0.2023,Negatif
beda semantic figure figure of speech yaaa,0.0,Netral
complicated stage for proposals guys looking for title topics,0.0,Netral
"Is there anyone going to college to become a student, aka a training competition but passing the Msib program, the independent campus is insecure, afraid of passing grgr alam?",-0.5719,Negatif
caring lecturer,0.4939,Positif
"check the grammar abstract of the thesis of a friend who graduated in English literature, yay nay, you can just google it",0.765,Positif
I haven't been taught to test the validity of the reliability test sm pdhl lecturers have already given learning assignments please tell me to read the data already know the validity of mnsq zstd corr what kind of reliability is it please read please,0.7096,Positif
"dm of course, thank you",0.3612,Positif
"Dom Malang, there is interest in respondents observing interviews, meeting assignments, finding respondents now, huhu, criteria for women, age, topics, impulsive buying cont",0.4588,Positif
whoever is easy to take care of Allah it's easy to take care of the afterlife world hr history of muslims help guys link to the pict questioner lucky to get a wallet thank you,0.9595,Positif
It's okay to keep it like that but not animals like that so friends win,0.8943,Positif
"Evening, friends, please help fill out the questionnaire, not a few criteria for Islamic banks, just reply, send the link dm",0.7964,Positif
"spill lappy prices around jt an lappy, I'm a lot, it's going to be offline for a while, tia btw, a literary child",0.5719,Positif
semester plan,0.0,Netral
help sender btw fpt organization tia,0.7184,Positif
"Overseas children studying on different islands like to feel not good enough, the sender feels like that",0.3806,Positif
pmm exchange independent students for health insurance cards using bpjs or using kis,0.0,Netral
"An independent campus with an independent internship is like registering for a glints platform, so the campus doesn't need to know",0.3612,Positif
"How do you get the value, but it's still safe, even though the accumulated value hasn't arrived",0.8248,Positif
if you give the task of summarizing sm instant spill lecturer,0.0,Netral
"To be honest, it's really stressful, how can I turn it in, the task of drafting a group law is to drop a bill, paraphrase the model, how can Allah Gusti Nu Agung, my goodness",0.1548,Positif
Gais Lenova Idiapad worth it ya belli sakarg batwa many sastra makasiya,0.2263,Positif
thank you kindly thank you a lot but also a little thank you,0.7514,Positif
"ask the sender yesterday, mini research assignment looking for the subject, yesterday's social media interview, the duration is minutes, people plan to pay, type of receipt, cont",-0.1027,Negatif
"guys, sorry, please check for plagiarism, Turnitin, please provide gas, thank you very much",0.7003,Positif
qualitative method thesis must test the validity of the instrument carefully or not quantitatively,0.128,Positif
"Suggestions for student thesis titles, guys",0.0,Netral
"Sis, if you have sprayed, are students in the audience, what do you mean by the lecturer who sprayed?",0.0,Netral
non-thesis assignment to make a film huhu,0.0,Netral
msib list then type until you feel insecure pessimistic that you feel like that,-0.4215,Negatif
Suggest the title of the science command dongz thesis,0.0,Netral
I understand the world of college says I don't want to be so tired of stress,-0.7922,Negatif
aaloowww sender needs thesis responders,0.0,Netral
dizzy normal normal data already transformed sm nglain outlirt,-0.2263,Negatif
no salty yaa organisasi hima bem semester worth it yaa saran alam guys thank you,0.296,Positif
"guys, the name of the style is ok thanks, met task",0.6249,Positif
the omelette test at the thesis trial is different,0.0,Netral
sempro sunday distribute the sempro questionnaires to the factory respondents,0.0,Netral
